Timestamp,What is your level of expertise in Data Science?
1/29/2022 16:11:46,Proficient but not doing Data Science professionally
1/29/2022 16:45:31,Interested but know very little
1/29/2022 17:35:38,Years of experience
1/29/2022 17:58:40,Proficient but not doing Data Science professionally
1/29/2022 18:07:14,Working Data Scientist
1/29/2022 20:25:22,Proficient but not doing Data Science professionally
1/29/2022 21:34:43,Years of experience
1/30/2022 8:25:18,Learning
1/30/2022 8:33:48,Proficient but not doing Data Science professionally
1/30/2022 19:30:17,Learning
1/30/2022 23:15:36,Proficient but not doing Data Science professionally
1/31/2022 14:49:51,Proficient but not doing Data Science professionally
1/31/2022 14:54:37,Working Data Scientist
1/31/2022 19:44:15,Learning
2/1/2022 12:07:28,Working Data Scientist
2/16/2022 18:54:59,Proficient but not doing Data Science professionally
2/16/2022 18:56:10,Proficient but not doing Data Science professionally
2/16/2022 21:14:05,Learning
